article_id,n_chunks,mean_p_ai,median_p_ai,max_p_ai,share_ai_like,mean_words,mean_words_per_sentence
article_1057,12,0.74982184,0.9984372,1.0,0.6666666666666666,100.41666666666667,25.104166666666668
article_0905,13,0.749793,0.9966261,1.0,0.6923076923076923,55.69230769230769,13.923076923076923
article_1536,14,0.7492684,0.9995486,1.0,0.6428571428571429,60.357142857142854,15.089285714285714
article_0467,15,0.74890554,0.99990904,1.0,0.7333333333333333,46.333333333333336,11.583333333333334
article_0618,19,0.7485121,0.9969992,1.0,0.6842105263157895,47.36842105263158,11.842105263157896
article_0965,15,0.7474788,0.999944,1.0,0.7333333333333333,46.4,11.944444444444445
article_0616,17,0.74743336,0.8600697,1.0,0.5882352941176471,59.588235294117645,14.897058823529411
article_0539,25,0.7473114,0.99981356,1.0,0.64,57.08,14.27
article_1283,12,0.74713725,0.9305991,1.0,0.6666666666666666,55.666666666666664,13.916666666666666
article_0565,15,0.74659103,0.9999971,1.0,0.6666666666666666,49.666666666666664,12.416666666666666
article_0055,12,0.74641925,0.96543026,1.0,0.5833333333333334,39.916666666666664,9.979166666666666
article_1093,8,0.7464104,0.92639387,1.0,0.75,57.0,14.25
article_0623,11,0.7462814,1.0,1.0,0.7272727272727273,53.27272727272727,13.969696969696969
article_1005,11,0.74624366,0.99999994,1.0,0.7272727272727273,51.27272727272727,12.818181818181818
article_0355,10,0.74528074,0.9996926,1.0,0.7,70.7,17.675
article_1621,18,0.7451849,0.9980442,1.0,0.6666666666666666,59.22222222222222,14.805555555555555
article_0146,13,0.744423,1.0,1.0,0.6923076923076923,48.61538461538461,12.153846153846153
article_1450,12,0.7436197,0.9221158,1.0,0.75,47.5,11.875
article_1466,14,0.74338293,0.99990964,1.0,0.6428571428571429,61.0,15.25
article_0517,14,0.74333304,0.9204205,0.99999976,0.6428571428571429,55.714285714285715,13.928571428571429
article_0823,13,0.74331725,0.9995638,1.0,0.6153846153846154,58.92307692307692,14.73076923076923
article_1266,7,0.74296284,0.9992862,0.9999999,0.7142857142857143,57.142857142857146,14.654761904761903
article_0692,11,0.74231166,1.0,1.0,0.6363636363636364,53.27272727272727,13.318181818181818
article_0053,58,0.7413565,0.9754993,1.0,0.6379310344827587,76.03448275862068,19.132183908045977
article_0911,11,0.74067175,1.0,1.0,0.7272727272727273,55.27272727272727,13.886363636363637
article_0878,11,0.74041265,0.9999949,1.0,0.6363636363636364,57.18181818181818,14.492424242424242
article_1265,17,0.7397901,0.99938446,1.0,0.7058823529411765,59.23529411764706,14.808823529411764
article_0949,11,0.73922616,0.9988952,1.0,0.6363636363636364,61.27272727272727,15.318181818181818
article_1319,13,0.739177,0.9964731,1.0,0.5384615384615384,44.61538461538461,11.153846153846153
article_0347,13,0.73908365,0.9710567,1.0,0.6923076923076923,59.23076923076923,14.993589743589743
article_1049,17,0.7384113,0.9997684,1.0,0.5882352941176471,47.05882352941177,11.764705882352942
article_0832,12,0.7381129,0.9929228,1.0,0.6666666666666666,63.166666666666664,15.791666666666666
article_0118,9,0.7375931,0.997537,1.0,0.6666666666666666,66.22222222222223,16.555555555555557
article_1082,9,0.73741406,0.9999993,1.0,0.6666666666666666,57.333333333333336,14.481481481481483
article_0187,17,0.73723555,0.9993751,1.0,0.6470588235294118,65.82352941176471,16.455882352941178
article_0610,19,0.73632985,0.96591735,1.0,0.631578947368421,60.73684210526316,15.302631578947368
article_0940,14,0.73632205,0.9991723,1.0,0.7142857142857143,62.0,15.696428571428571
article_0864,11,0.73541903,0.9784812,1.0,0.5454545454545454,64.27272727272727,16.068181818181817
article_0973,10,0.7352626,0.94940984,1.0,0.6,72.7,18.175
article_0305,16,0.73497075,0.95244414,1.0,0.625,52.3125,13.078125
article_1257,9,0.734853,1.0,1.0,0.6666666666666666,74.88888888888889,18.72222222222222
article_1380,8,0.73476917,0.99601394,1.0,0.625,74.5,19.0
article_0755,13,0.7343912,0.97427875,1.0,0.6923076923076923,41.84615384615385,10.461538461538462
article_0596,18,0.73374873,0.97842824,1.0,0.6666666666666666,55.22222222222222,13.805555555555555
article_0811,7,0.73322296,0.99977267,1.0,0.5714285714285714,59.714285714285715,15.666666666666668
article_0644,19,0.7332151,0.9976385,1.0,0.5789473684210527,43.473684210526315,10.868421052631579
article_1427,13,0.7315255,0.9950092,1.0,0.6153846153846154,49.07692307692308,12.26923076923077
article_0892,13,0.7308163,0.9945896,1.0,0.6153846153846154,42.61538461538461,10.653846153846153
article_0570,12,0.7306941,0.996995,1.0,0.6666666666666666,78.0,19.916666666666668
article_0158,12,0.73049515,0.9909822,1.0,0.6666666666666666,62.583333333333336,15.645833333333334
article_1268,9,0.7304524,0.9999999,1.0,0.6666666666666666,57.666666666666664,14.416666666666666
article_0568,16,0.73001665,0.999531,1.0,0.6875,42.375,10.59375
article_0334,10,0.73001254,0.9967624,1.0,0.6,60.2,15.05
article_0052,11,0.7299961,0.9902226,1.0,0.6363636363636364,69.45454545454545,17.424242424242422
article_1161,14,0.7295751,0.9976824,1.0,0.6428571428571429,73.07142857142857,18.410714285714285
article_1149,13,0.72814995,0.9993041,1.0,0.6153846153846154,51.30769230769231,12.826923076923077
article_1223,10,0.727878,0.97883844,1.0,0.7,53.4,13.35
article_0087,4,0.72556853,0.7280759,1.0,0.5,73.25,18.3125
article_1436,7,0.7248868,1.0,1.0,0.7142857142857143,53.285714285714285,13.321428571428571
article_1509,7,0.7244911,0.9999977,1.0,0.7142857142857143,85.71428571428571,21.428571428571427
article_1296,22,0.72367996,0.97337365,1.0,0.5454545454545454,44.09090909090909,11.022727272727273
article_0762,15,0.72351724,0.9957687,1.0,0.6666666666666666,62.86666666666667,15.716666666666667
article_1563,14,0.7230443,0.9999051,1.0,0.5714285714285714,52.07142857142857,13.017857142857142
article_0014,13,0.7229965,0.9999997,1.0,0.6153846153846154,49.15384615384615,12.384615384615385
article_1263,16,0.72286046,0.9719088,1.0,0.625,60.4375,15.109375
article_0117,12,0.7226693,0.9847847,1.0,0.6666666666666666,97.16666666666667,24.291666666666668
article_1483,30,0.72239596,0.972455,1.0,0.6666666666666666,60.8,15.2
article_0326,7,0.72226465,0.98716074,1.0,0.5714285714285714,77.85714285714286,20.261904761904763
article_0667,10,0.72149867,0.99996936,1.0,0.7,46.2,11.641666666666667
article_0195,11,0.72145504,0.99976856,1.0,0.6363636363636364,73.54545454545455,18.386363636363637
article_0115,20,0.72061974,0.9943537,1.0,0.65,75.1,18.775
article_0191,33,0.7203102,0.98800665,1.0,0.6666666666666666,88.87878787878788,22.444444444444443
article_1497,21,0.72026664,0.9974429,1.0,0.6666666666666666,76.04761904761905,19.011904761904763
article_1448,11,0.7201177,0.9992937,1.0,0.6363636363636364,50.81818181818182,12.704545454545455
article_0805,8,0.72004575,0.9998722,1.0,0.625,41.0,10.25
article_1562,13,0.71981674,0.9990925,1.0,0.6923076923076923,61.53846153846154,15.76923076923077
article_1267,9,0.7189715,0.9961518,1.0,0.6666666666666666,39.333333333333336,9.833333333333334
article_0901,3,0.71856874,0.92229974,0.9999257,0.6666666666666666,99.33333333333333,24.833333333333332
article_0724,13,0.71849823,0.87855643,1.0,0.5384615384615384,49.15384615384615,12.307692307692308
article_0016,16,0.7182481,0.9999977,1.0,0.6875,40.125,10.03125
article_0821,11,0.7177737,0.99999994,1.0,0.7272727272727273,60.90909090909091,15.227272727272727
article_0968,20,0.7176043,0.85669494,1.0,0.65,80.7,20.175
article_0554,14,0.71625906,0.9158101,1.0,0.6428571428571429,47.92857142857143,11.982142857142858
article_0553,17,0.71615446,0.99999994,1.0,0.7058823529411765,52.8235294117647,13.205882352941176
article_1187,24,0.71578956,0.99366516,1.0,0.5833333333333334,45.208333333333336,11.302083333333334
article_1241,14,0.7152391,0.99862,1.0,0.6428571428571429,69.92857142857143,17.482142857142858
article_1350,19,0.7147717,0.99437904,1.0,0.6842105263157895,52.73684210526316,13.18421052631579
article_0151,13,0.7146372,0.9998672,1.0,0.6153846153846154,49.15384615384615,12.288461538461538
article_0388,19,0.7141725,0.9771717,1.0,0.6842105263157895,61.05263157894737,15.263157894736842
article_1375,15,0.71333617,0.95376605,1.0,0.6,40.93333333333333,10.433333333333334
article_1431,9,0.71323735,0.9842957,1.0,0.6666666666666666,55.0,13.75
article_1210,21,0.7128955,0.92096,1.0,0.5714285714285714,47.61904761904762,11.964285714285714
article_0067,13,0.71278954,0.83626145,1.0,0.5384615384615384,58.07692307692308,14.51923076923077
article_1125,26,0.7123067,0.99286914,1.0,0.6538461538461539,62.61538461538461,15.653846153846153
article_1061,30,0.7116133,0.9759767,1.0,0.6,70.8,17.7
article_0232,17,0.71083117,0.99996716,1.0,0.6470588235294118,55.35294117647059,13.857843137254903
article_0408,16,0.71022767,0.9999807,1.0,0.6875,70.125,17.692708333333332
article_1589,9,0.7101928,0.9971116,1.0,0.6666666666666666,69.77777777777777,18.166666666666668
article_1211,9,0.7099851,0.9267997,1.0,0.6666666666666666,61.55555555555556,15.38888888888889
article_0819,19,0.70982075,0.99986863,1.0,0.6842105263157895,41.10526315789474,10.276315789473685
article_0846,8,0.7097173,0.9210045,1.0,0.625,73.25,18.3125
article_0896,6,0.7093916,0.99998224,1.0,0.6666666666666666,60.833333333333336,15.208333333333334
article_1579,21,0.70911723,0.9972694,1.0,0.6190476190476191,32.0,8.0
article_0630,10,0.7089024,0.9998783,1.0,0.7,67.7,16.925
article_0329,12,0.7087756,0.99999964,1.0,0.6666666666666666,61.666666666666664,15.416666666666666
article_1557,20,0.7084419,0.9940615,1.0,0.7,49.65,12.479166666666668
article_0270,15,0.7080371,0.9998929,1.0,0.6666666666666666,48.733333333333334,12.183333333333334
article_1131,7,0.7073981,0.99905187,1.0,0.5714285714285714,69.42857142857143,17.357142857142858
article_0759,11,0.70728457,0.9346515,1.0,0.5454545454545454,51.90909090909091,12.977272727272727
article_1141,15,0.70718616,0.9997031,1.0,0.6666666666666666,37.6,9.4
